Requête,execution_time_s,puissance_moyenne_W,energy_consumed_J,SELECT(n),SELECTION,JOIN(n),FILTER(1ou 0),UNION(n ou 0),ORDER BY(1ou 0),GROUP BY(1ou 0),LIMIT/OFFSET(1ou 0)
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department9.University3580.edu/GraduateCourse1> .
}",0.1662,66.411,6.6411,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department12.University221.edu/GraduateCourse3> .
}",0.1525,139.64,13.964,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department13.University9831.edu/GraduateCourse2> .
}",0.1525,94.006,9.4006,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department4.University8582.edu/GraduateCourse0> .
}",0.1516,83.692,8.3692,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department3.University7281.edu/GraduateCourse3> .
}",0.151,104.291,10.4291,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department2.University9511.edu/GraduateCourse4> .
}",0.1547,107.362,10.7362,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department15.University5669.edu/GraduateCourse3> .
}",0.1501,91.88,9.188,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department1.University3978.edu/GraduateCourse2> .
}",0.1525,75.333,7.5333,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department5.University9609.edu/GraduateCourse2> .
}",0.1508,103.064,10.3064,1,2,0,0,0,0,0,0
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent> .
	?X <http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse> <http://www.Department1.University6391.edu/GraduateCourse3> .
}",0.152,82.179,8.2179,1,2,0,0,0,0,0,0
