query,execution_time_s,puissance_moyenne_W,energy_consumed_J
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1662,66.411,6.6411
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1525,139.64,13.964
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1525,94.006,9.4006
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1516,83.692,8.3692
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,104.291,10.4291
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1547,107.362,10.7362
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1501,91.88,9.188
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1525,75.333,7.5333
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1508,103.064,10.3064
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.152,82.179,8.2179
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1512,103.96,10.396
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1516,74.86,7.486
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1511,129.438,12.9438
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1516,86.441,8.6441
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1499,80.22,8.022
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1511,101.847,10.1847
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1508,84.569,8.4569
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.15,91.088,9.1088
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1522,91.292,9.1292
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1513,71.72,7.172
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1548,89.769,8.9769
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1501,96.267,9.6267
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,81.111,8.1111
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1509,87.725,8.7725
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1524,94.155,9.4155
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1504,70.942,7.0942
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1519,69.062,6.9062
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1539,93.011,9.3011
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1526,125.77,12.577
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1501,82.891,8.2891
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1543,86.762,8.6762
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1502,74.861,7.4861
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1521,80.152,8.0152
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1517,106.024,10.6024
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1519,78.149,7.8149
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.153,95.755,9.5755
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1516,78.517,7.8517
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1511,167.115,16.7115
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1514,89.952,8.9952
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1513,116.23,11.623
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,131.653,13.1653
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.152,145.233,14.5233
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1507,110.862,11.0862
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1522,133.638,13.3638
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1498,116.272,11.6272
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1527,133.403,13.3403
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.15,113.451,11.3451
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1506,111.144,11.1144
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1491,90.061,9.0061
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1522,131.828,13.1828
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1495,117.546,11.7546
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1522,83.077,8.3077
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,127.154,12.7154
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.152,126.298,12.6298
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1504,91.738,9.1738
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1514,80.739,8.0739
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1499,103.866,10.3866
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1522,109.185,10.9185
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1509,68.959,6.8959
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1528,73.908,7.3908
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1496,74.141,7.4141
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1527,92.326,9.2326
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1524,88.705,8.8705
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.153,75.476,7.5476
